LOC_ID	Region	APORT_NAME	CITY	STATE	FAC_TYPE	ATCT_FLAG	HUB_SIZE	SYSYEAR	SCENARIO	AC	COMMUTER	T_ENPL	ITN_AC	ITN_AT	ATN_GA	_ITN_MIL	T_ITN	LOC_GA	LOC_MIL	T_LOC	T_AOPS	T_TROPS	TOT_BA
DSM 	ACE	DES MOINES INTL                                   	DES MOINES	IA	3	1	S	2018	0	736344	574747	1311091	30182	9315	24446	1125	65068	4679	514	5193	70261	98201	111
DSM 	ACE	DES MOINES INTL                                   	DES MOINES	IA	3	1	S	2019	0	786385	634885	1421270	33239	8833	22581	1237	65890	4524	589	5113	71003	99002	111
DSM 	ACE	DES MOINES INTL                                   	DES MOINES	IA	3	1	S	2020	0	440060	393907	833967	27197	4319	18361	960	50837	4727	754	5481	56318	82611	105
DSM 	ACE	DES MOINES INTL                                   	DES MOINES	IA	3	1	S	2021	0	415886	485948	901834	27213	4974	20060	1644	53891	7042	1007	8049	61940	89846	105
DSM 	ACE	DES MOINES INTL                                   	DES MOINES	IA	3	1	S	2022	0	898048	437494	1335542	29794	7017	22526	1732	61069	12016	692	12708	73777	96780	105
DSM 	ACE	DES MOINES INTL                                   	DES MOINES	IA	3	1	S	2023	0	1129214	349952	1479166	31098	6215	27750	1380	66443	31450	799	32249	98692	102335	105
ICT 	ACE	Wichita Dwight D Eisenhower Ntl                                                                     	WICHITA	KS	3	1	S	2013	0	354082	370308	724390	14381	23826	50203	16416	104826	21621	21845	43466	148292	178910	236
ICT 	ACE	Wichita Dwight D Eisenhower Ntl                                                                     	WICHITA	KS	3	1	S	2014	0	413368	341586	754954	15742	23208	46897	16977	102824	17552	21304	38856	141680	179535	213
ICT 	ACE	Wichita Dwight D Eisenhower Ntl                                                                     	WICHITA	KS	3	1	S	2015	0	406331	366317	772648	15931	23734	44481	13778	97924	10377	9827	20204	118128	179760	242
ICT 	ACE	Wichita Dwight D Eisenhower Ntl                                                                     	WICHITA	KS	3	1	S	2016	0	402814	378421	781235	16048	23725	45402	14619	99794	7455	7181	14636	114430	182806	242
ICT 	ACE	Wichita Dwight D Eisenhower Ntl                                                                     	WICHITA	KS	3	1	S	2017	0	433762	349169	782931	15434	22804	42057	16962	97257	8243	8532	16775	114032	178837	242
ICT 	ACE	Wichita Dwight D Eisenhower Ntl                                                                     	WICHITA	KS	3	1	S	2018	0	418263	384569	802832	16010	21852	38814	15524	92200	7411	7485	14896	107096	175409	208
ICT 	ACE	Wichita Dwight D Eisenhower Ntl                                                                     	WICHITA	KS	3	1	S	2019	0	502145	348524	850669	16872	20281	36087	14207	87447	8610	8967	17577	105024	169986	208
ICT 	ACE	Wichita Dwight D Eisenhower Ntl                                                                     	WICHITA	KS	3	1	S	2020	0	254175	245253	499428	15071	15503	29648	11678	71900	8452	5521	13973	85873	149236	208
ICT 	ACE	Wichita Dwight D Eisenhower Ntl                                                                     	WICHITA	KS	3	1	S	2021	0	225989	322468	548457	15306	17985	34541	8949	76781	8939	5503	14442	91223	156682	208
ICT 	ACE	Wichita Dwight D Eisenhower Ntl                                                                     	WICHITA	KS	3	1	S	2022	0	457701	288435	746136	16364	19894	38991	11941	87190	16042	6486	22528	109718	168365	208
ICT 	ACE	Wichita Dwight D Eisenhower Ntl                                                                     	WICHITA	KS	3	1	S	2023	0	525118	298229	823347	18726	16339	39982	11478	86525	21777	4661	26438	112963	165436	209
SGF 	ACE	Springfield-Branson Ntl                                                                             	SPRINGFIELD	MO	3	1	S	2013	0	88713	276465	365178	2772	16829	15395	2759	37755	4125	1283	5408	43163	116077	122
SGF 	ACE	Springfield-Branson Ntl                                                                             	SPRINGFIELD	MO	3	1	S	2014	0	98754	309510	408264	3012	17237	15453	2364	38066	3144	605	3749	41815	117845	114
SGF 	ACE	Springfield-Branson Ntl                                                                             	SPRINGFIELD	MO	3	1	S	2015	0	123902	316552	440454	4612	15723	15208	3372	38915	2164	936	3100	42015	115005	109
SGF 	ACE	Springfield-Branson Ntl                                                                             	SPRINGFIELD	MO	3	1	S	2016	0	120575	332701	453276	7124	15259	16777	3274	42434	3511	1079	4590	47024	119148	122
SGF 	ACE	Springfield-Branson Ntl                                                                             	SPRINGFIELD	MO	3	1	S	2017	0	132716	344081	476797	7961	14144	19479	2900	44484	9068	1252	10320	54804	125562	123
SGF 	ACE	Springfield-Branson Ntl                                                                             	SPRINGFIELD	MO	3	1	S	2018	0	120420	395443	515863	10021	17513	17587	2420	47541	8814	765	9579	57120	141441	127
SGF 	ACE	Springfield-Branson Ntl                                                                             	SPRINGFIELD	MO	3	1	S	2019	0	120530	448361	568891	8171	23444	16714	2211	50540	11077	724	11801	62341	135444	127
SGF 	ACE	Springfield-Branson Ntl                                                                             	SPRINGFIELD	MO	3	1	S	2020	0	80174	281147	361321	7606	17426	14298	2134	41464	8822	657	9479	50943	116550	141
SGF 	ACE	Springfield-Branson Ntl                                                                             	SPRINGFIELD	MO	3	1	S	2021	0	98169	324762	422931	9706	16372	16028	2889	44995	10433	914	11347	56342	125787	142
SGF 	ACE	Springfield-Branson Ntl                                                                             	SPRINGFIELD	MO	3	1	S	2022	0	155746	380023	535769	10780	16762	18678	3245	49465	6354	853	7207	56672	138434	145
SGF 	ACE	Springfield-Branson Ntl                                                                             	SPRINGFIELD	MO	3	1	S	2023	0	185026	418070	603096	13201	16557	18332	4512	52602	9499	1135	10634	63236	148251	147
ACY 	AEA	ATLANTIC CITY INTL                                	ATLANTIC CITY	NJ	3	1	S	2013	0	496212	42632	538844	8653	5815	20675	18525	53668	5357	14976	20333	74001	108014	58
ACY 	AEA	ATLANTIC CITY INTL                                	ATLANTIC CITY	NJ	3	1	S	2014	0	516922	61187	578109	8947	6196	19050	17681	51874	6696	21741	28437	80311	100862	58
ACY 	AEA	ATLANTIC CITY INTL                                	ATLANTIC CITY	NJ	3	1	S	2015	0	532994	48427	581421	9426	5403	17205	18931	50965	5457	23680	29137	80102	96759	35
ACY 	AEA	ATLANTIC CITY INTL                                	ATLANTIC CITY	NJ	3	1	S	2016	0	571319	12067	583386	7739	5905	17182	19359	50185	5242	16865	22107	72292	97762	46
ACY 	AEA	ATLANTIC CITY INTL                                	ATLANTIC CITY	NJ	3	1	S	2017	0	534867	15	534882	7936	4667	15657	17745	46005	3725	13715	17440	63445	93307	22
ACY 	AEA	ATLANTIC CITY INTL                                	ATLANTIC CITY	NJ	3	1	S	2018	0	546869	105	546974	7448	4791	14105	15298	41642	2568	13515	16083	57725	86986	46
ACY 	AEA	ATLANTIC CITY INTL                                	ATLANTIC CITY	NJ	3	1	S	2019	0	528507	67	528574	7185	4794	15566	15374	42919	2861	10197	13058	55977	90156	46
ACY 	AEA	ATLANTIC CITY INTL                                	ATLANTIC CITY	NJ	3	1	S	2020	0	307410	2323	309733	5104	3172	14155	13945	36376	3850	9064	12914	49290	71835	47
ACY 	AEA	ATLANTIC CITY INTL                                	ATLANTIC CITY	NJ	3	1	S	2021	0	354290	6431	360721	5981	4090	14192	8765	33028	2898	5947	8845	41873	76580	51
ACY 	AEA	ATLANTIC CITY INTL                                	ATLANTIC CITY	NJ	3	1	S	2022	0	468128	2959	471087	7581	4679	18109	12138	42507	5972	10029	16001	58508	89112	51
ACY 	AEA	ATLANTIC CITY INTL                                	ATLANTIC CITY	NJ	3	1	S	2023	0	421158	115	421273	6619	5285	19604	12199	43707	7861	9234	17095	60802	89957	52
ALB 	AEA	ALBANY INTL                                       	ALBANY	NY	3	1	S	2013	0	684316	517465	1201781	22249	25705	13811	3018	64783	7592	1719	9311	74094	103020	95
ALB 	AEA	ALBANY INTL                                       	ALBANY	NY	3	1	S	2014	0	752221	448033	1200254	22244	22646	13390	2295	60575	9584	2182	11766	72341	97446	95
ALB 	AEA	ALBANY INTL                                       	ALBANY	NY	3	1	S	2015	0	858942	394591	1253533	21625	22066	14472	2631	60794	8501	1384	9885	70679	97969	82
ALB 	AEA	ALBANY INTL                                       	ALBANY	NY	3	1	S	2016	0	1002959	367243	1370202	22647	23781	14905	3236	64569	6135	1810	7945	72514	104796	88
ALB 	AEA	ALBANY INTL                                       	ALBANY	NY	3	1	S	2017	0	1023161	367138	1390299	23684	23646	14599	3303	65232	5282	1899	7181	72413	103763	97
ALB 	AEA	ALBANY INTL                                       	ALBANY	NY	3	1	S	2018	0	1006132	417070	1423202	23381	23594	13689	3700	64364	6354	2099	8453	72817	100434	100
ALB 	AEA	ALBANY INTL                                       	ALBANY	NY	3	1	S	2019	0	1075425	416880	1492305	24541	20577	13759	3698	62575	8829	2531	11360	73935	98200	100
ALB 	AEA	ALBANY INTL                                       	ALBANY	NY	3	1	S	2020	0	558182	227236	785418	17825	11864	14668	3997	48354	5189	2233	7422	55776	80640	108
ALB 	AEA	ALBANY INTL                                       	ALBANY	NY	3	1	S	2021	0	475784	274797	750581	17267	10129	14708	3547	45651	3071	798	3869	49520	84678	108
ALB 	AEA	ALBANY INTL                                       	ALBANY	NY	3	1	S	2022	0	893711	375284	1268995	25100	11193	14974	2882	54149	3772	595	4367	58516	93310	108
ALB 	AEA	ALBANY INTL                                       	ALBANY	NY	3	1	S	2023	0	951552	387347	1338899	25847	10927	15158	2380	54312	4326	645	4971	59283	94078	111
HPN 	AEA	Westchester County                                                                                  	WHITE PLAINS	NY	7	1	S	2013	0	378000	388740	766740	14015	51405	78271	153	143844	28240	0	28240	172084	0	306
HPN 	AEA	Westchester County                                                                                  	WHITE PLAINS	NY	7	1	S	2014	0	367529	371988	739517	12028	52474	72788	142	137432	15446	0	15446	152878	0	295
HPN 	AEA	Westchester County                                                                                  	WHITE PLAINS	NY	7	1	S	2015	0	386754	371626	758380	12586	52575	77555	174	142890	14977	0	14977	157867	0	300
HPN 	AEA	Westchester County                                                                                  	WHITE PLAINS	NY	7	1	S	2016	0	396113	369054	765167	14848	55066	79496	141	149551	15199	6	15205	164756	0	301
HPN 	AEA	Westchester County                                                                                  	WHITE PLAINS	NY	7	1	S	2017	0	374614	375565	750179	15725	56801	77603	156	150285	16803	0	16803	167088	0	294
HPN 	AEA	Westchester County                                                                                  	WHITE PLAINS	NY	7	1	S	2018	0	413596	362297	775893	16466	56094	71418	126	144104	17096	0	17096	161200	0	279
HPN 	AEA	Westchester County                                                                                  	WHITE PLAINS	NY	7	1	S	2019	0	479864	365996	845860	18678	51893	72449	162	143182	13244	0	13244	156426	0	273
HPN 	AEA	Westchester County                                                                                  	WHITE PLAINS	NY	7	1	S	2020	0	254363	156934	411297	10666	35667	53517	76	99926	11560	10	11570	111496	0	257
HPN 	AEA	Westchester County                                                                                  	WHITE PLAINS	NY	7	1	S	2021	0	283041	134533	417574	10024	48474	63916	73	122487	11712	4	11716	134203	0	263
HPN 	AEA	Westchester County                                                                                  	WHITE PLAINS	NY	7	1	S	2022	0	510087	316668	826755	22846	54784	74770	110	152510	11365	0	11365	163875	0	280
HPN 	AEA	Westchester County                                                                                  	WHITE PLAINS	NY	7	1	S	2023	0	745256	382489	1127745	27572	52004	64940	76	144592	17359	2	17361	161953	0	282
ISP 	AEA	LONG ISLAND MAC ARTHUR                            	NEW YORK	NY	7	1	S	2013	0	578377	69297	647674	10304	8282	43248	1359	63193	47794	596	48390	111583	0	233
ISP 	AEA	LONG ISLAND MAC ARTHUR                            	NEW YORK	NY	7	1	S	2014	0	595186	62051	657237	9956	8477	42074	1048	61555	53066	447	53513	115068	0	233
ISP 	AEA	LONG ISLAND MAC ARTHUR                            	NEW YORK	NY	7	1	S	2015	0	571699	30494	602193	9154	6835	41947	1187	59123	53781	624	54405	113528	0	249
ISP 	AEA	LONG ISLAND MAC ARTHUR                            	NEW YORK	NY	7	1	S	2016	0	565681	33551	599232	9077	7760	47409	1249	65495	55879	628	56507	122002	0	287
ISP 	AEA	LONG ISLAND MAC ARTHUR                            	NEW YORK	NY	7	1	S	2017	0	541342	29874	571216	8781	7323	47497	1438	65039	59480	687	60167	125206	0	238
ISP 	AEA	LONG ISLAND MAC ARTHUR                            	NEW YORK	NY	7	1	S	2018	0	814672	34495	849167	12020	7160	47118	1676	67974	63599	605	64204	132178	0	307
ISP 	AEA	LONG ISLAND MAC ARTHUR                            	NEW YORK	NY	7	1	S	2019	0	718425	33940	752365	10675	7375	50834	1954	70838	74420	444	74864	145702	0	285
ISP 	AEA	LONG ISLAND MAC ARTHUR                            	NEW YORK	NY	7	1	S	2020	0	405756	16788	422544	7590	5035	41728	1377	55730	62034	698	62732	118462	0	304
ISP 	AEA	LONG ISLAND MAC ARTHUR                            	NEW YORK	NY	7	1	S	2021	0	405715	21740	427455	7073	6878	50549	1552	66052	80504	1099	81603	147655	0	304
ISP 	AEA	LONG ISLAND MAC ARTHUR                            	NEW YORK	NY	7	1	S	2022	0	636216	23292	659508	9794	7026	51210	1543	69573	90364	829	91193	160766	0	309
ISP 	AEA	LONG ISLAND MAC ARTHUR                            	NEW YORK	NY	7	1	S	2023	0	597127	63	597190	8663	9500	49123	897	68183	89951	163	90114	158297	0	318
ROC 	AEA	FREDERICK DOUGLASS/GREATER ROCHESTER INTL         	ROCHESTER	NY	3	1	S	2013	0	582534	624351	1206885	19308	30493	16631	836	67268	23971	325	24296	91564	90718	112
ROC 	AEA	FREDERICK DOUGLASS/GREATER ROCHESTER INTL         	ROCHESTER	NY	3	1	S	2014	0	597982	582259	1180241	19843	26610	16747	1441	64641	22766	1486	24252	88893	88172	82
ROC 	AEA	FREDERICK DOUGLASS/GREATER ROCHESTER INTL         	ROCHESTER	NY	3	1	S	2015	0	605164	561341	1166505	20299	23935	16256	1533	62023	19941	1875	21816	83839	86250	73
ROC 	AEA	FREDERICK DOUGLASS/GREATER ROCHESTER INTL         	ROCHESTER	NY	3	1	S	2016	0	661828	529522	1191350	20349	23998	17887	1978	64212	12988	929	13917	78129	91782	89
ROC 	AEA	FREDERICK DOUGLASS/GREATER ROCHESTER INTL         	ROCHESTER	NY	3	1	S	2017	0	650081	540063	1190144	21749	23734	19723	1587	66793	20521	1607	22128	88921	95782	72
ROC 	AEA	FREDERICK DOUGLASS/GREATER ROCHESTER INTL         	ROCHESTER	NY	3	1	S	2018	0	623642	647323	1270965	26770	19576	20071	1933	68350	14101	341	14442	82792	95335	83
ROC 	AEA	FREDERICK DOUGLASS/GREATER ROCHESTER INTL         	ROCHESTER	NY	3	1	S	2019	0	645003	629717	1274720	26706	17786	19334	1825	65651	11279	289	11568	77219	90658	86
ROC 	AEA	FREDERICK DOUGLASS/GREATER ROCHESTER INTL         	ROCHESTER	NY	3	1	S	2020	0	308425	351342	659767	18939	11914	18674	1718	51245	14777	234	15011	66256	71957	86
ROC 	AEA	FREDERICK DOUGLASS/GREATER ROCHESTER INTL         	ROCHESTER	NY	3	1	S	2021	0	233519	344516	578035	16845	9132	22713	1776	50466	22149	120	22269	72735	73514	88
ROC 	AEA	FREDERICK DOUGLASS/GREATER ROCHESTER INTL         	ROCHESTER	NY	3	1	S	2022	0	608831	506036	1114867	27230	12099	23796	1886	65011	17710	165	17875	82886	88761	88
ROC 	AEA	FREDERICK DOUGLASS/GREATER ROCHESTER INTL         	ROCHESTER	NY	3	1	S	2023	0	778665	522211	1300876	29771	11042	20874	1615	63302	12973	262	13235	76537	85772	88
SYR 	AEA	SYRACUSE HANCOCK INTL                             	SYRACUSE	NY	3	1	S	2013	0	351288	634167	985455	18165	27663	12351	949	59128	6513	220	6733	65861	88494	56
SYR 	AEA	SYRACUSE HANCOCK INTL                             	SYRACUSE	NY	3	1	S	2014	0	357139	631401	988540	18585	26190	12023	952	57750	3241	386	3627	61377	86289	56
SYR 	AEA	SYRACUSE HANCOCK INTL                             	SYRACUSE	NY	3	1	S	2015	0	395414	590710	986124	20365	22761	12428	1206	56760	2982	371	3353	60113	87059	23
SYR 	AEA	SYRACUSE HANCOCK INTL                             	SYRACUSE	NY	3	1	S	2016	0	414171	568860	983031	21841	21234	13419	2364	58858	6483	2409	8892	67750	91090	23
SYR 	AEA	SYRACUSE HANCOCK INTL                             	SYRACUSE	NY	3	1	S	2017	0	442560	556102	998662	22322	20379	14318	2720	59739	5896	4367	10263	70002	89950	43
SYR 	AEA	SYRACUSE HANCOCK INTL                             	SYRACUSE	NY	3	1	S	2018	0	483402	624877	1108279	25959	17807	13093	4154	61013	2679	3921	6600	67613	90090	43
SYR 	AEA	SYRACUSE HANCOCK INTL                             	SYRACUSE	NY	3	1	S	2019	0	671768	573510	1245278	28308	15234	12220	4616	60378	2369	2965	5334	65712	88124	50
SYR 	AEA	SYRACUSE HANCOCK INTL                             	SYRACUSE	NY	3	1	S	2020	0	370989	302022	673011	20105	9912	11385	3551	44953	3521	2590	6111	51064	68690	56
SYR 	AEA	SYRACUSE HANCOCK INTL                             	SYRACUSE	NY	3	1	S	2021	0	306900	334404	641304	19311	9050	12596	4556	45513	2906	2391	5297	50810	71915	49
SYR 	AEA	SYRACUSE HANCOCK INTL                             	SYRACUSE	NY	3	1	S	2022	0	741284	456314	1197598	30520	9112	12293	4349	56274	2109	1572	3681	59955	83705	54
SYR 	AEA	SYRACUSE HANCOCK INTL                             	SYRACUSE	NY	3	1	S	2023	0	904400	465559	1369959	31809	8101	14256	4476	58642	6646	1572	8218	66860	85578	54
MDT 	AEA	HARRISBURG INTL                                   	HARRISBURG	PA	3	1	S	2013	0	159522	489990	649512	7906	28128	8249	4531	48814	1930	3511	5441	54255	146736	36
MDT 	AEA	HARRISBURG INTL                                   	HARRISBURG	PA	3	1	S	2014	0	215250	431207	646457	10782	21723	8616	4884	46005	2413	3582	5995	52000	141349	34
MDT 	AEA	HARRISBURG INTL                                   	HARRISBURG	PA	3	1	S	2015	0	252579	351019	603598	12754	16766	8359	4297	42176	2398	4533	6931	49107	133659	26
MDT 	AEA	HARRISBURG INTL                                   	HARRISBURG	PA	3	1	S	2016	0	238983	336497	575480	12749	16799	8476	4893	42917	3564	4566	8130	51047	141732	34
MDT 	AEA	HARRISBURG INTL                                   	HARRISBURG	PA	3	1	S	2017	0	254107	327188	581295	12824	16404	8611	4275	42114	3883	3768	7651	49765	145180	26
MDT 	AEA	HARRISBURG INTL                                   	HARRISBURG	PA	3	1	S	2018	0	290063	329889	619952	14684	15865	8921	3970	43440	4286	3545	7831	51271	146761	34
MDT 	AEA	HARRISBURG INTL                                   	HARRISBURG	PA	3	1	S	2019	0	325988	389680	715668	14432	16137	8917	3784	43270	2259	2796	5055	48325	153460	27
MDT 	AEA	HARRISBURG INTL                                   	HARRISBURG	PA	3	1	S	2020	0	195009	242955	437964	12549	11672	7547	3445	35213	1992	3419	5411	40624	132035	28
MDT 	AEA	HARRISBURG INTL                                   	HARRISBURG	PA	3	1	S	2021	0	118460	312013	430473	13359	11303	9022	4195	37879	3737	4261	7998	45877	148006	28
MDT 	AEA	HARRISBURG INTL                                   	HARRISBURG	PA	3	1	S	2022	0	315730	295511	611241	14025	11669	10846	3632	40172	4872	2852	7724	47896	155740	29
MDT 	AEA	HARRISBURG INTL                                   	HARRISBURG	PA	3	1	S	2023	0	382703	265999	648702	14799	9229	12275	3138	39441	7111	2676	9787	49228	152543	29
ORF 	AEA	NORFOLK INTL                                      	NORFOLK	VA	3	1	S	2013	0	898530	680503	1579033	30218	29884	17691	786	78579	2491	461	2952	81531	209597	96
ORF 	AEA	NORFOLK INTL                                      	NORFOLK	VA	3	1	S	2014	0	844689	667534	1512223	27307	26579	18338	1130	73354	4091	203	4294	77648	198879	91
ORF 	AEA	NORFOLK INTL                                      	NORFOLK	VA	3	1	S	2015	0	795057	688120	1483177	26387	23849	17458	567	68261	1488	343	1831	70092	197005	94
ORF 	AEA	NORFOLK INTL                                      	NORFOLK	VA	3	1	S	2016	0	913694	674046	1587740	27517	26375	17646	595	72133	1943	13	1956	74089	196857	93
ORF 	AEA	NORFOLK INTL                                      	NORFOLK	VA	3	1	S	2017	0	1006915	645408	1652323	29067	24649	17289	521	71526	1167	92	1259	72785	194462	95
ORF 	AEA	NORFOLK INTL                                      	NORFOLK	VA	3	1	S	2018	0	1128206	671329	1799535	33495	21549	15944	590	71578	413	82	495	72073	195319	95
ORF 	AEA	NORFOLK INTL                                      	NORFOLK	VA	3	1	S	2019	0	1190351	787401	1977752	38946	20663	16199	672	76480	223	29	252	76732	204449	85
ORF 	AEA	NORFOLK INTL                                      	NORFOLK	VA	3	1	S	2020	0	694005	454689	1148694	27803	12899	13024	373	54099	245	58	303	54402	161559	85
ORF 	AEA	NORFOLK INTL                                      	NORFOLK	VA	3	1	S	2021	0	971954	432957	1404911	33426	7614	14939	519	56498	147	10	157	56655	165495	85
ORF 	AEA	NORFOLK INTL                                      	NORFOLK	VA	3	1	S	2022	0	1362273	682435	2044708	48597	7115	16404	780	72896	1187	266	1453	74349	190646	108
ORF 	AEA	NORFOLK INTL                                      	NORFOLK	VA	3	1	S	2023	0	1644977	590312	2235289	47437	7825	15930	1381	72573	1363	56	1419	73992	187671	112
GRR 	AGL	GERALD R FORD INTL                                	GRAND RAPIDS	MI	7	1	S	2013	0	541692	556998	1098690	15488	28389	25157	723	69757	8251	522	8773	78530	99430	86
GRR 	AGL	GERALD R FORD INTL                                	GRAND RAPIDS	MI	7	1	S	2014	0	623838	538529	1162367	17515	23714	23806	399	65434	8814	178	8992	74426	96546	85
GRR 	AGL	GERALD R FORD INTL                                	GRAND RAPIDS	MI	7	1	S	2015	0	716844	540087	1256931	22278	19233	24463	428	66402	9518	264	9782	76184	97148	92
GRR 	AGL	GERALD R FORD INTL                                	GRAND RAPIDS	MI	7	1	S	2016	0	755432	557241	1312673	23905	17551	25789	534	67779	11566	320	11886	79665	99148	93
GRR 	AGL	GERALD R FORD INTL                                	GRAND RAPIDS	MI	7	1	S	2017	0	884653	503893	1388546	25321	16728	25198	492	67739	13967	318	14285	82024	100971	92
GRR 	AGL	GERALD R FORD INTL                                	GRAND RAPIDS	MI	7	1	S	2018	0	987766	586035	1573801	29331	15992	24582	672	70577	11833	687	12520	83097	103574	88
GRR 	AGL	GERALD R FORD INTL                                	GRAND RAPIDS	MI	7	1	S	2019	0	1123414	624661	1748075	33870	14721	23721	516	72828	11936	372	12308	85136	37035	72
GRR 	AGL	GERALD R FORD INTL                                	GRAND RAPIDS	MI	7	1	S	2020	0	714241	387063	1101304	29072	7830	19624	280	56806	7112	85	7197	64003	0	69
GRR 	AGL	GERALD R FORD INTL                                	GRAND RAPIDS	MI	7	1	S	2021	0	829636	420371	1250007	29743	10249	22971	324	63287	8326	72	8398	71685	0	68
GRR 	AGL	GERALD R FORD INTL                                	GRAND RAPIDS	MI	7	1	S	2022	0	1267029	424820	1691849	32166	13821	23409	413	69809	5611	48	5659	75468	0	70
GRR 	AGL	GERALD R FORD INTL                                	GRAND RAPIDS	MI	7	1	S	2023	0	1457139	387744	1844883	32375	12676	23600	364	69015	5734	36	5770	74785	0	71
