age,workStatus,facultyDummy,staffDummy,gender,race_1,race_2,race_3,race_9,race_10,race_11,race_12,race_12_TEXT,race_13,income,childrenDependents,schoolDivision,schoolDivision_25_TEXT,originlat,originlon,destinlat,destinlon,total_trips_old,commuteCampus_1,commute_days,modeChoice_1old,modeChoice_2old,modeChoice_3old,modeChoice_4old,modeChoice_5old,modeChoice_6old,modeChoice_7old,modeChoice_8old,modeChoice_9old,modeChoice_10old,modeChoice_1,modeChoice_2,modeChoice_3,modeChoice_4,modeChoice_5,modeChoice_6,modeChoice_7,modeChoice_8,modeChoice_9,modeChoice_10,arrivalTime,totalHours,reasonabilyUtilize_1,reasonabilyUtilize_2,reasonabilyUtilize_3,reasonabilyUtilize_4,reasonabilyUtilize_5,reasonabilyUtilize_6,reasonabilyUtilize_7,reasonabilyUtilize_8,whyBike_1,whyBike_2,whyBike_3,whyBike_5,whyBike_6,whyBike_7,whyBike_8,whyBike_9,whyBike_10,whyWalk_1,whyWalk_2,whyWalk_4,whyWalk_5,whyWalk_6,whyWalk_7,whyCarpool_1,whyCarpool_2,whyCarpool_3,whyCarpool_4,whyCarpool_5,whyCarpool_6,whyCarpool_7,whyVanpool_1,whyVanpool_2,whyVanpool_3,whyVanpool_4,whyVanpool_5,whyVanpool_6,whyTransit_1,whyTransit_2,whyTransit_3,whyTransit_4,whyTransit_6,whyTransit_7,whyTransit_8,whyTransit_9,whyTransit_10,scenarioBikeWalkDr,scenarioCarpoolD,scenarioTransitD,scenarioBikeWalkTr,envImpact_1,envImpact_1_dummy,envImpact_2,envImpact_2_dummy,longdistYN,longdistTripsCompare_1,longdistTripsCompare_2,longdistTripsCompare_3,longdistTripsCompare_4,longdistTripsNYC,longdistTripsBos,longdistTripsPitt,longdistTripsDriveRe_1,longdistTripsDriveRe_2,longdistTripsFlyReas_1,longdistTripsFlyReas_2,longdistTripsFlyReas_3,geometry
25-34,Staff,0,1,Woman,White,"","","","","","","","","$100,000 - $119,999",No,School of Social Policy and Practice,"",39.9587859,-75.202561,39.9525381,-75.1975391,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,"","",Walk,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.202561|39.9587859
25-34,Graduate Student,0,0,"","","","","","","","","","","$60,000 - $79,999",No,Carey School of Law,"",39.9500455,-75.1438117,39.9539018,-75.1929845,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8:00-10:00 AM,0-10 hours,"",Public Transit,"",Bike,"",Rideshare or taxi,"","",I don't own a bicycle,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.1438117|39.9500455
18-24,Staff,0,1,Woman,White,"",Hispanic or Latinx,"","","","","","","$20,000 - $39,999",No,Perelman School of Medicine,"",39.9414981,-75.1493058,39.9497156,-75.1984913,4,4,4,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,"",Public Transit,Walk,Bike,"","","","",I don't own a bicycle,"","",Takes too long	,"","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.1493058|39.9414981
18-24,Staff,0,1,Man,White,"","","","","","","","","$80,000 - $99,999",No,Division of Business Services,"",40.0736924,-75.198188,39.9544892,-75.1960936,10,5,5,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6:00-8:00 AM,31-40 hours,"",Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.198188|40.0736924
25-34,Staff,0,1,Woman,White,"","","","","","","","","$20,000 - $39,999",No,Perelman School of Medicine,"",40.1619038,-76.5873588,39.9476966,-75.1925668,4,3,3,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,Public Transit,"","","","","","","","","","","","","","","","","","","","","",Not compatible with my schedule,"","",Need a car before or after work,Don't know how to find a carpool partner,"","","","","","","","","","","","","","","","","","",Carpool to work every day with one other person. Pay approximately $80 monthly cost via payroll pre-tax exemption for parking.,Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-76.5873588|40.1619038
55-64,Faculty,1,0,"",White,"","","","","","","","","$150,000 or more",No,Perelman School of Medicine,"",40.0493121,-75.2770721,39.9488111,-75.19203209999999,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Prior to 6AM,31-40 hours,Personal car,"","","","","","","","","","","","","","","","","","","","","","",Not compatible with my schedule,"","",Need a car before or after work,"","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"","",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.2770721|40.0493121
55-64,Faculty,1,0,Woman,White,"","","","","","","","","$150,000 or more",No,The Wharton School,"",39.9995913,-75.273018,39.9533795,-75.19800359999999,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,"","","","",Rideshare or taxi,"","","","","","","","","","","","","","","","","",Not compatible with my schedule,"","",Need a car before or after work,"","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"","",Neither agree nor disagree,Disagree or Nuetral,Neither agree nor disagree,Disagree or Nuetral,Yes,3-4 trips,"","",5 or more,"Take SEPTA to 30th St. Station, take Amtrak to New York Penn Station","Take a taxi or use rideshare to get to PHL, fly to Boston Logan","Take a taxi or use rideshare to get to PHL, fly to Pittsburgh","","",Strongly agree,Disagree,Strongly disagree,-75.273018|39.9995913
25-34,Staff,0,1,Woman,White,"","","","","","","","","$100,000 - $119,999",No,Perelman School of Medicine,"",39.9920292,-75.0908671,39.9549431,-75.1941915,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,"","","","","","","","","","","","","","","","","","","","","","",Not compatible with my schedule,"",Takes too long,Need a car before or after work,"","","","","","","","","","","","","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"","",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.0908671|39.9920292
35-44,Staff,0,1,Man,White,"","","","","","","","","$120,000 - $139,999",Yes,The Wharton School,"",39.9717175,-75.1775464,39.9552401,-75.2021352,4,4,4,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,Public Transit,Walk,Bike,"",Rideshare or taxi,"","","",I believe it's unsafe,"","","","","",I have to bring a change of clothes,"","","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","Walk or bike more than three days per week.

Drive or take transit as needed.  Parking costs $17 per day.","","Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.1775464|39.9717175
45-54,Staff,0,1,"",White,"","","","","","","","","$60,000 - $79,999",No,Perelman School of Medicine,"",39.845775,-75.003003,39.9499701,-75.19300590000002,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6:00-8:00 AM,11-20 hours,"",Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Neither agree nor disagree,Disagree or Nuetral,Agree,Agree,No,"","","","","","","","","","","","",-75.003003|39.845775
25-34,Faculty,1,0,Woman,White,"","","","","","","","","$40,000 - $59,999",No,The Wharton School,"",40.0324562,-75.2118653,39.9533795,-75.19800359999999,4,4,4,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,Personal car,Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","",Don't know how to find a carpool partner,"",I prefer my current type of transportation,"","","","","","","","","","","","","","","","",Carpool to work every day with one other person. Pay approximately $80 monthly cost via payroll pre-tax exemption for parking.,"Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.2118653|40.0324562
35-44,Staff,0,1,Woman,White,"","","","","","","","","$40,000 - $59,999",No,School of Arts and Sciences,"",39.9497546,-75.2042842,39.95105360000001,-75.1950743,5,5,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,"",Public Transit,Walk,Bike,"","","","","",I believe it's unsafe,"","",Weather,"","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","","","","",Too expensive,"","","","",I prefer my current type of transportation,"","","","","","",Neither agree nor disagree,Disagree or Nuetral,Neither agree nor disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.2042842|39.9497546
18-24,Staff,0,1,"",White,"","","","","","","","","$40,000 - $59,999",No,Perelman School of Medicine,"",39.9463176,-75.1581775,39.9487447,-75.1928516,5,5,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,"",Public Transit,"",Bike,"",Rideshare or taxi,"","",I don't own a bicycle,I believe it's unsafe,"","",Weather,"","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Agree,Agree,Neither agree nor disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.1581775|39.9463176
25-34,Staff,0,1,Woman,White,"","","","","","","","","$150,000 or more",Yes,Perelman School of Medicine,"",40.0341171,-75.6641518,39.9499701,-75.19300590000002,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6:00-8:00 AM,0-10 hours,Personal car,Public Transit,"","","","","","","","","","","","","","","","","","","","","",Not compatible with my schedule,"","",Need a car before or after work,"","",I prefer my current type of transportation,"","","","","","",Not compatible with my schedule,"",Takes too long,Need a car before or after work,Would have to transfer,"",I prefer my current type of transportation,It doesn't seem clean,It doesn't seem safe,"",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"",Strongly Agree,Agree,Neither agree nor disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.6641518|40.0341171
45-54,Staff,0,1,"",White,"","","","","","","","","$60,000 - $79,999",No,Carey School of Law,"",39.9300474,-75.1639663,39.9538363,-75.1930711,5,5,5,0,0,1,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,"",Public Transit,Walk,Bike,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Too expensive,"","","","",I prefer my current type of transportation,"","","","","","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.1639663|39.9300474
25-34,Graduate Student,0,0,Woman,"","",Hispanic or Latinx,"","","","","","","$40,000 - $59,999",No,Annenberg School for Communication,"",39.9635213,-75.189512,39.9529206,-75.1955861,5,5,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,"","",Walk,"","",Rideshare or taxi,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Neither agree nor disagree,Disagree or Nuetral,Neither agree nor disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.189512|39.9635213
25-34,Staff,0,1,Woman,White,"","","","","","","","","$40,000 - $59,999",No,Perelman School of Medicine,"",39.9531933,-75.2162615,39.9487447,-75.1928516,5,5,5,0,3,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,"",Public Transit,Walk,Bike,"",Rideshare or taxi,"","Other mobility device (Scooter, Hoverboard, etc.)","",I believe it's unsafe,"","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Agree,Agree,Neither agree nor disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.2162615|39.9531933
25-34,Staff,0,1,Woman,White,"","","","","","","","","$80,000 - $99,999",Yes,The Wharton School,"",40.0240248,-75.3265026,39.95127300000001,-75.1978103,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,Personal car,"","","","","","","","","","","","","","","","","","","","","","",Not compatible with my schedule,"","","","","","","","","","","","","","","","","","","","","","",Carpool to work every day with one other person. Pay approximately $80 monthly cost via payroll pre-tax exemption for parking.,"","",Strongly Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.3265026|40.0240248
35-44,Staff,0,1,Woman,White,"","","","","","","","","$40,000 - $59,999",No,The Wharton School,"",40.0141399444396,-75.3002971654541,39.9518575,-75.1964275,4,2,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,"",Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Strongly Agree,Agree,Strongly Agree,Agree,Yes,1-2 trips,0 trips,0 trips,0 trips,"Take SEPTA to 30th St. Station, take Amtrak to New York Penn Station","Take SEPTA to 30th St. Station, take Amtrak to Boston","Take SEPTA to 30th St. Station, take Amtrak to Pittsburgh","","","","","",-75.3002971654541|40.0141399444396
35-44,Staff,0,1,Man,White,"","","","","","","","","$150,000 or more",Yes,School of Arts and Sciences,"",40.0378755,-76.3055144,39.9558177,-75.1945728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8:00-10:00 AM,0-10 hours,"",Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",It doesn't seem safe,"","","","",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-76.3055144|40.0378755
25-34,Staff,0,1,Woman,White,"","","","","","","","","$40,000 - $59,999",No,Perelman School of Medicine,"",39.9475246,-75.1631569,39.9487447,-75.1928516,5,5,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8:00-10:00 AM,0-10 hours,"",Public Transit,Walk,"",Carpool,Rideshare or taxi,"","","","","","","","","","","","","",Takes too long,Weather,"",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","","","","","","","","","","",Strongly Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.1631569|39.9475246
35-44,Faculty,1,0,Man,White,"","","","","","","","","$80,000 - $99,999",No,School of Arts and Sciences,"",39.9687206694876,-75.170864739209,39.95096866251849,-75.19171168039551,5,6,6,0,3,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,8:00-10:00 AM,More than 40 hours,Personal car,Public Transit,Walk,Bike,Carpool,Rideshare or taxi,Vanpool,"Other mobility device (Scooter, Hoverboard, etc.)","","","","","","","","","","","",Takes too long,Weather,"",I prefer my current type of transportation,"","","","","","",I prefer my current type of transportation,"","","","","",I prefer my current type of transportation,"","","","","","","","","","Walk or bike more than three days per week.

Drive or take transit as needed.  Parking costs $17 per day.","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.170864739209|39.9687206694876
35-44,Faculty,1,0,Woman,White,"","","","","","","","","$150,000 or more",Yes,Perelman School of Medicine,"",39.941023,-75.1624541,39.9565128,-75.1937293,5,5,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8:00-10:00 AM,More than 40 hours,Personal car,Public Transit,"","","",Rideshare or taxi,"","","","","","","","","","","","","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","",It doesn't seem clean,It doesn't seem safe,"",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"",Agree,Agree,Agree,Agree,Yes,1-2 trips,1-2 trips,3-4 trips,1-2 trips,"Take SEPTA to 30th St. Station, take Amtrak to New York Penn Station","Take a taxi or use rideshare to get to PHL, fly to Boston Logan",Drive Pittsburgh and park overnight,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,-75.1624541|39.941023
25-34,Staff,0,1,Woman,"","","",Asian,"","","","","","$120,000 - $139,999",No,Perelman School of Medicine,"",39.9600168,-75.2274866,39.9505402,-75.19511320000001,8,5,5,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,8:00-10:00 AM,31-40 hours,"",Public Transit,Walk,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Takes too long,"","","","",It doesn't seem clean,It doesn't seem safe,"","","","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.2274866|39.9600168
25-34,Staff,0,1,Woman,White,"","","","","","","","","$40,000 - $59,999",No,Perelman School of Medicine,"",39.8618132,-75.9849429,39.9480917,-75.1963859,9,3,3,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","",Don't know how to find a carpool partner,"","","","","","","","","","","","","","","","","","",Carpool to work every day with one other person. Pay approximately $80 monthly cost via payroll pre-tax exemption for parking.,"Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.9849429|39.8618132
